host_name,Datetime,CPU Utilization,Disk Read Operations,Disk Write Operations,Network Packets Recieved,Network Packets Sent,Raw Disk Read Utilization,Raw Disk Write Utilization,Raw Net Recieved Utilization,Raw Net Sent Utilization
7095824396664797056,2017-07-23 03:40:00,1.01236952481,0.0,7.4,89.0,0.6,0.0,56787.4,8938.4,0.0
7095824396664797056,2017-07-23 03:45:00,1.01116141308,0.0,9.0,90.8,2.4,0.0,67174.4,9238.4,502.2
7095824396664797056,2017-07-23 03:50:00,1.01173478565,0.0,8.2,86.2,0.0,0.0,63461.0,8956.8,0.0
7095824396664797056,2017-07-23 03:55:00,1.04004981717,0.0,8.2,87.2,0.0,0.0,62619.8,9085.6,64.6
7095824396664797056,2017-07-23 04:00:00,1.01240642427,0.0,9.8,90.6,4.0,0.0,71030.0,9317.2,1114.2
7095824396664797056,2017-07-23 04:05:00,1.01354018788,0.0,8.0,87.2,0.4,0.0,62958.2,8834.6,0.0
7095824396664797056,2017-07-23 04:10:00,1.01248860285,0.0,8.0,86.2,0.0,0.0,62259.2,8842.4,0.0
7095824396664797056,2017-07-23 04:15:00,1.0124258701,0.0,9.8,90.4,2.2,0.0,72766.6,9310.4,495.0
7095824396664797056,2017-07-23 04:20:00,1.02313020035,0.0,9.8,89.6,1.8,0.0,77823.8,9185.0,501.4
7095824396664797056,2017-07-23 04:25:00,1.03047780078,0.0,8.0,87.0,0.6,0.0,62259.2,8893.8,0.0
7095824396664797056,2017-07-23 04:30:00,1.01332422829,0.0,8.0,88.8,1.2,0.0,62259.2,8987.0,52.8
7095824396664797056,2017-07-23 04:35:00,1.01380324004,0.0,8.6,85.8,0.0,0.0,63220.8,8818.6,0.0
7095824396664797056,2017-07-23 04:40:00,1.01286484844,0.0,8.4,87.2,0.0,0.0,63220.6,9220.4,48.0
7095824396664797056,2017-07-23 04:45:00,1.01236706743,0.0,9.2,92.4,0.0,0.0,71128.2,9325.0,467.0
7095824396664797056,2017-07-23 04:50:00,1.03915159215,0.0,8.4,88.0,0.0,0.0,62739.8,9115.4,47.0
7095824396664797056,2017-07-23 04:55:00,1.01302634013,0.0,8.2,90.2,2.4,0.0,65055.4,9108.6,459.2
7095824396664797056,2017-07-23 05:00:00,1.01215794282,0.0,9.2,91.0,2.2,0.0,67873.4,9314.6,494.2
7095824396664797056,2017-07-23 05:05:00,1.0129714268,0.0,8.0,87.0,0.0,0.0,62259.4,8944.2,0.0
7095824396664797056,2017-07-23 05:10:00,1.01224079884,0.0,10.2,92.0,2.4,0.0,84813.8,9327.4,501.4
7095824396664797056,2017-07-23 05:15:00,1.04103172988,0.0,8.2,88.0,0.0,0.0,62619.8,9129.8,46.0
7095824396664797056,2017-07-23 05:20:00,1.01301271981,0.0,10.0,87.6,2.2,0.0,79222.0,8863.4,448.2
7095824396664797056,2017-07-23 05:25:00,1.01164632445,0.0,8.0,85.6,0.0,0.0,62259.2,8876.6,0.0
7095824396664797056,2017-07-23 05:30:00,1.01367582146,0.0,8.8,90.8,2.6,0.0,66738.0,9323.4,515.0
7095824396664797056,2017-07-23 05:35:00,1.01353711491,0.0,8.4,88.8,0.8,0.0,62740.0,9298.8,96.6
7095824396664797056,2017-07-23 05:40:00,1.03985955582,0.0,8.6,90.8,3.8,0.0,66693.4,9084.8,522.4
7095824396664797056,2017-07-23 05:45:00,1.01361635189,0.0,8.0,89.0,0.0,0.0,62259.6,9090.2,0.0
7095824396664797056,2017-07-23 05:50:00,1.01454240494,0.0,8.0,86.2,0.0,0.0,62259.0,8809.6,0.0
7095824396664797056,2017-07-23 05:55:00,1.01401982449,0.0,8.8,89.8,0.0,0.0,67851.2,9142.8,0.0
7095824396664797056,2017-07-23 06:00:00,1.01372717024,0.0,8.8,92.6,2.6,0.0,66355.4,9564.6,518.2
7095824396664797056,2017-07-23 06:05:00,1.02425575762,0.0,8.0,88.2,0.0,0.0,62259.0,9134.6,41.2
7095824396664797056,2017-07-23 06:10:00,1.02859231685,0.0,9.0,89.0,2.2,0.0,67174.4,8999.2,453.0
7095824396664797056,2017-07-23 06:15:00,1.01375940819,0.0,8.8,88.0,0.0,0.0,64783.2,9186.4,58.6
7095824396664797056,2017-07-23 06:20:00,1.01211689102,0.0,11.2,93.4,5.0,0.0,89368.8,9307.4,674.0
7095824396664797056,2017-07-23 06:25:00,1.0131481219,0.0,10.4,86.8,0.0,0.0,69951.2,8835.4,0.0
7095824396664797056,2017-07-23 06:30:00,1.0130371207,0.0,19.0,86.2,0.0,0.0,671973.2,2145934.0,722.4
7095824396664797056,2017-07-23 06:35:00,1.04054172773,0.0,238.0,3252.8,229.8,0.0,33778639.2,2462137.4,14789.0
7095824396664797056,2017-07-23 06:40:00,1.01131773986,0.0,16.2,92.6,4.4,0.0,246164.0,9675.6,988.4
7095824396664797056,2017-07-23 06:45:00,1.01294925846,0.0,8.6,97.2,4.0,0.0,65536.4,10061.0,651.8
7095824396664797056,2017-07-23 06:50:00,1.01331777315,0.0,78.2,85.8,2.2,0.0,1140762.8,8490.0,494.2
7095824396664797056,2017-07-23 06:55:00,1.01216018604,0.0,8.0,85.4,0.0,0.0,62259.2,8880.8,0.0
7095824396664797056,2017-07-23 07:00:00,1.03819586204,0.0,9.8,91.4,1.6,0.0,71969.4,9558.6,494.2
7095824396664797056,2017-07-23 07:05:00,1.01356930347,0.0,8.8,91.0,2.8,0.0,65776.4,9269.0,494.2
7095824396664797056,2017-07-23 07:10:00,1.01333242881,0.0,8.2,88.2,0.0,0.0,63460.8,8942.4,0.0
